Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Payments Section,23429760,,,,,23429760
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Procurement and Asset Management Section,10877026,,,,,10877026
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Financial Accounting Section,20088566,,,,,20088566
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Legal Unit,7569394,,,,,7569394
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Land Compensation payment,125000000,,,,,125000000
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Treasury Divison,13205306,,,,,13205306
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Aid Coordination Section,7477650,,,,,7477650
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Finance and Administration Section,7322886,,,,,7322886
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Government Business Monitoring and Evaluation Section,11233856,,,,,11233856
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Accounting Group (Financial Controller),4687407,,,,,4687407
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Line Agency Accounting Section,3581110,,,,,3581110
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Finance Services Bureau Malampa Province,3225859,,,,,3225859
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Finance Services Bureau Torba Province,2158962,,,,,2158962
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Finance Services Bureau Sanma Province,5177093,,,,,5177093
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Finance Services Bureau Tafea Province,2920564,,,,,2920564
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Finance Services Bureau Penama Province,2890411,,,,,2890411
Vanuatu,Ministry of Finance and Economic Management,National Statistics,National Statistical Collection Analysis & Reporting,Emoluments Section,34414196,,,,,34414196
Vanuatu,Ministry of Finance and Economic Management,National Statistics,National Statistical Collection Analysis & Reporting,Provincial Offices,0,,,,,0
Vanuatu,Ministry of Finance and Economic Management,National Statistics,Provincial Statistics Offices,Statistical Leadership and Coordination Section,2223915,,,,,2223915
Vanuatu,Ministry of Finance and Economic Management,National Statistics,Provincial Statistics Offices,Economic Section,2709001,,,,,2709001
Vanuatu,Ministry of Finance and Economic Management,National Statistics,Provincial Statistics Offices,Social Section,1071502,,,,,1071502
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Central Payments,0,,,,,0
Vanuatu,Ministry of Finance and Economic Management,Revenue Collection,Customs and Excise Collections,Customs Revenue. Trades Tariff & Compliance,33234116,,,,,33234116
Vanuatu,Ministry of Finance and Economic Management,Revenue Collection,Customs and Excise Collections,Customs Post Clearance & Excise Audit,20855116,,,,,20855116
Vanuatu,Ministry of Finance and Economic Management,Revenue Collection,Customs and Excise Collections,Customs Revenue - Santo,19877106,,,,,19877106
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Corporate Services,VAT Revenue Section,0,,,,,0
Vanuatu,Ministry of Finance and Economic Management,Executive Management and Corporate Services,Corporate Services,VAT Audit Section,0,,,,,0
Vanuatu,Ministry of Finance and Economic Management,Revenue Collection,VAT Collections,,77588627,,,,,77588627
Vanuatu,Ministry of Finance and Economic Management,Financial And Economic Management,Government Financial Services,Rates & Taxes Section,0,,,,,0
Vanuatu,Ministry of Finance and Economic Management,Revenue Collection,Rates and Taxes Collection,,30571417,,,,,30571417
Vanuatu,Ministry of Finance and Economic Management,Border Control and Enforcement,Customs Border Control,,36449701,,,,,36449701
Vanuatu,Ministry of Finance and Economic Management,Border Control and Enforcement,Customs Border Control - Santo,,9680511,,,,,9680511
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Executive Management and Corporate Services,Executive Management,Trade & Cooperative Executive Management,29162690,,,,,29162690
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Executive Management and Corporate Services,Executive Management,Copra Subsidy,60000000,,,,,60000000
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Executive Management and Corporate Services,Food Technology,Product Development Section,3743948,,,,,3743948
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Executive Management and Corporate Services,Food Technology,Administration,3412824,,,,,3412824
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Executive Management and Corporate Services,Food Technology,Laboratory Section,1697568,,,,,1697568
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Executive Management and Corporate Services,Vanuatu Intellectual Property Development,Intellectual Property Right,4993605,,,,,4993605
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Primary Industries Development Section,Primary Industry Division,3618826,,,,,3618826
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Provincial Industrial Extension Services,Trade Development Division,5937910,,,,,5937910
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Provincial Industrial Extension Services,IDO Sanma,2366961,,,,,2366961
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Provincial Industrial Extension Services,IDO Shefa,1467461,,,,,1467461
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Provincial Industrial Extension Services,IDO Tafea,1467461,,,,,1467461
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Provincial Industrial Extension Services,IDO Penama,1442501,,,,,1442501
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Provincial Industrial Extension Services,IDO Malampa,1467461,,,,,1467461
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Policy Planning Administration & Financial Comprising,Policy & Admin Division,8307332,,,,,8307332
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Industry Development,Marketing & Promotion Section,Marketing & Promotion Division,3326794,,,,,3326794
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Product Development Section,4409338,,,,,4409338
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Policy & Administration,6510236,,,,,6510236
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Tourism Investment Promotion & Facilitation,4332768,,,,,4332768
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Penama Provincial Tourism Office,0,,,,,0
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Outer Islands Development,4350957,,,,,4350957
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Tourism Accredition & Classification,0,,,,,0
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Standards,,4230794,,,,,4230794
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Provincial Tourism Development,Shefa Provincial Tourism Office,2225645,,,,,2225645
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Tafea Provincial Tourism Office,0,,,,,0
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Malampa Provincial Tourism Office,0,,,,,0
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Tourism Development,Sanma Provincial Tourism Office,0,,,,,0
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Tourism Development,Provincial Tourism Development,Torba Provincial Tourism Office,2216382,,,,,2216382
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Cooperative Policy & Administration,11724520,,,,,11724520
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Education & Training Section,10382683,,,,,10382683
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Shefa Provincial Coop Office,6288008,,,,,6288008
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Malampa Provincial Coop Office,6133327,,,,,6133327
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Tafea Provincial Coop Office,6401282,,,,,6401282
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Torba Provincial Coop Office,5742001,,,,,5742001
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Penama Provincial Coop Office,5425772,,,,,5425772
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Sanma Provincial Coop Office,6260562,,,,,6260562
Vanuatu,Ministry of Commerce Industry Tourism and Ni-Vanuatu Business,Ni-Vanuatu Business Development,Cooperatives Development,,0,,,,,0
Vanuatu,Ministry of Health,Executive Management and Corporate Services,Ministry Executive,,12638709,,,,,12638709
Vanuatu,Ministry of Health,Executive Management and Corporate Services,Corporate Services,Planning & Administration,99215181,,,,,99215181
Vanuatu,Ministry of Health,Executive Management and Corporate Services,Health Sector Human Resource Development,,67087403,,,,,67087403
Vanuatu,Ministry of Health,Health Services,Hospital Services,Director - Curative & Hospital Services,9097194,,,,,9097194
Vanuatu,Ministry of Health,Health Services,Hospital Services,Doctors Visitations & Hospital Referral of Patients,24297530,,,,,24297530
Vanuatu,Ministry of Health,Health Services,Hospital Services,Director - Southern Health Care,0,,,,,0
Vanuatu,Ministry of Health,Health Services,Hospital Services,Vila Central Hospital,387103267,,,,,387103267
Vanuatu,Ministry of Health,Health Services,Hospital Services,Lenakel Hospital,58894795,,,,,58894795
Vanuatu,Ministry of Health,Health Services,Hospital Services,Director - Northern Health Care,0,,,,,0
Vanuatu,Ministry of Health,Health Services,Hospital Services,Northern District Hospital,213517610,,,,,213517610
Vanuatu,Ministry of Health,Health Services,Hospital Services,Torba Hospital,8764613,,,,,8764613
Vanuatu,Ministry of Health,Health Services,Hospital Services,Norsup Hospital,56779743,,,,,56779743
Vanuatu,Ministry of Health,Health Services,Hospital Services,Lolowai Hospital,34048265,,,,,34048265
Vanuatu,Ministry of Health,Health Services,Community Health Services,Community Health Tafea Province,37931365,,,,,37931365
Vanuatu,Ministry of Health,Health Services,Community Health Services,Community Health Torba Province,32227957,,,,,32227957
Vanuatu,Ministry of Health,Health Services,Community Health Services,Community Health Sanma Province,57827657,,,,,57827657
Vanuatu,Ministry of Health,Health Services,Community Health Services,Community Health Malampa Province,66751429,,,,,66751429
Vanuatu,Ministry of Health,Health Services,Community Health Services,Community Health Shefa Province,55198285,,,,,55198285
Vanuatu,Ministry of Health,Health Services,Community Health Services,Community Health Penama Province,53415630,,,,,53415630
Vanuatu,Ministry of Health,Executive Management and Corporate Services,Corporate Services,Community Health Malampa Province,0,,,,,0
Vanuatu,Ministry of Health,Executive Management and Corporate Services,Corporate Services,Director of Public Health,0,,,,,0
Vanuatu,Ministry of Health,Health Services,Public Health Services,Health Promotion,8279948,,,,,8279948
Vanuatu,Ministry of Health,Health Services,Public Health Services,Malaria & Other Vector-Borne Diseases,10382953,,,,,10382953
Vanuatu,Ministry of Health,Health Services,Public Health Services,Nutrition,2717947,,,,,2717947
Vanuatu,Ministry of Health,Health Services,Public Health Services,NCD & Mental Health,4627116,,,,,4627116
Vanuatu,Ministry of Health,Health Services,Public Health Services,IMCI,2444735,,,,,2444735
Vanuatu,Ministry of Health,Health Services,Public Health Services,EPI,3178461,,,,,3178461
Vanuatu,Ministry of Health,Health Services,Public Health Services,TB/Leprosy,3665235,,,,,3665235
Vanuatu,Ministry of Health,Health Services,Public Health Services,Reproductive Health & Family Planning,3792422,,,,,3792422
Vanuatu,Ministry of Health,Health Services,Public Health Services,STI & HIV/AIDS,1753579,,,,,1753579
Vanuatu,Ministry of Health,Health Services,Public Health Services,Environmental Health,9127095,,,,,9127095
Vanuatu,Ministry of Health,Health Services,Public Health Services,Neglected Tropical Diseases,843898,,,,,843898
Vanuatu,Ministry of Health,Health Services,Public Health Services,Disease Surveillance & Response,1467648,,,,,1467648
Vanuatu,Ministry of Health,Health Services,Medical Supplies Stock,Management of Medical Supplies,19418294,,,,,19418294
Vanuatu,Ministry of Health,Health Services,Medical Supplies Stock,Purchase of Drugs,200000000,,,,,200000000
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Executive Management and Corporate Services,Office of the Director General,,20108016,,,,,20108016
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Executive Management and Corporate Services,Corporate Services,Livestock Production,20017208,,,,,20017208
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Executive Management and Corporate Services,Corporate Services,Livestock Production North,7031370,,,,,7031370
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Agricultural and Rural Development,Commodities,Commodities,49303276,,,,,49303276
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Agricultural and Rural Development,Food Production,,18162316,,,,,18162316
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Agricultural and Rural Development,Information,,9154783,,,,,9154783
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Agricultural and Rural Development,Policy and Administration,Policy and Administration,33909360,,,,,33909360
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Agricultural and Rural Development,Policy and Administration,Agribusiness Support,0,,,,,0
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Vanuatu Quarantine and Inspection Service,Biosecurity Administration,,16092465,,,,,16092465
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Vanuatu Quarantine and Inspection Service,Veterinary Contract,,26086047,,,,,26086047
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Vanuatu Quarantine and Inspection Service,Biosecurity Operations South,,29634926,,,,,29634926
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Vanuatu Quarantine and Inspection Service,Biosecurity Operations North,,11425740,,,,,11425740
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Vanuatu Quarantine and Inspection Service,Livestock Production,Livestock Division,0,,,,,0
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Vanuatu Quarantine and Inspection Service,Livestock Production,Livestock Production North,0,,,,,0
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Vanuatu Quarantine and Inspection Service,Plant Health,,6731822,,,,,6731822
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Research and Production,,0,,,,,0
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Administration,,23101024,,,,,23101024
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Research and Aquaculture,,11828004,,,,,11828004
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Compliance and Licensing,,31709753,,,,,31709753
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Development and Capture,Provincial Fisheries Centre - SHEFA,7315750,,,,,7315750
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Development and Capture,Provincial Fisheries Centre - SANMA,4356530,,,,,4356530
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Development and Capture,Provincial Fisheries Centre - MALAMPA,1522664,,,,,1522664
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Development and Capture,Provincial Fisheries Centre - TORBA,1801124,,,,,1801124
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Development and Capture,Provincial Fisheries Centre - PENAMA,1507791,,,,,1507791
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Development and Capture,Provincial Fisheries Centre - TAFEA,1682831,,,,,1682831
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Development and Capture,Fisheries Boat Yard,6185822,,,,,6185822
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Fisheries Policy and Management,,9370729,,,,,9370729
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Fisheries,Seafood Verification,,9246794,,,,,9246794
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Forestry,Forestry,Sustainability,33189575,,,,,33189575
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Forestry,Forestry,Value Adding and Processing,5077450,,,,,5077450
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Forestry,Forestry,Research,9514881,,,,,9514881
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Forestry,Forestry,Policy & Planning,10335826,,,,,10335826
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Livestock,Livestock Production Malampa,,2562648,,,,,2562648
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Livestock,Livestock Production Tafea,,6714259,,,,,6714259
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Livestock,Livestock Production Torba,,2276119,,,,,2276119
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Livestock,Livestock Production Sanma,,5060107,,,,,5060107
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Livestock,Livestock Production Penama,,2612098,,,,,2612098
Vanuatu,Ministry of Agriculture Livestock Forestry Fisheries and Biosecurity,Livestock,Livestock Production Shefa,,7837145,,,,,7837145
Vanuatu,Ministry of Lands Geology and Mines,Executive Management and Corporate Services,Executive Management,Executive Management,12767238,,,,,12767238
Vanuatu,Ministry of Lands Geology and Mines,Executive Management and Corporate Services,Executive Management,Corporate Services Unit,633767,,,,,633767
Vanuatu,Ministry of Lands Geology and Mines,Executive Management and Corporate Services,Corporate Services,Land Reform Package,38338164,,,,,38338164
Vanuatu,Ministry of Lands Geology and Mines,Executive Management and Corporate Services,Corporate Services,Human Resource Management,2939904,,,,,2939904
Vanuatu,Ministry of Lands Geology and Mines,Executive Management and Corporate Services,Corporate Services,Information Technology,7392176,,,,,7392176
Vanuatu,Ministry of Lands Geology and Mines,Executive Management and Corporate Services,Corporate Services,,59420919,,,,,59420919
Vanuatu,Ministry of Lands Geology and Mines,Environment,Environmental management research and extension Services,,0,,,,,0
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Land Survey,Land Survey Unit,23388949,,,,,23388949
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Land Survey,,23696116,,,,,23696116
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Land Use Planning,Urban & Rural Lands Unit,7829176,,,,,7829176
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Land Use Planning,Valuer General,0,,,,,0
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Lease Management,Santo Office,8458705,,,,,8458705
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Lease Management,Enforcement & Compliance,3874114,,,,,3874114
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Lease Management,Land Records Unit,18184562,,,,,18184562
Vanuatu,Ministry of Lands Geology and Mines,Lands Management,Customary Land Registration,,0,,,,,0
Vanuatu,Ministry of Lands Geology and Mines,Executive Management and Corporate Services,Corporate Services,Geology & Mines - Minerals,0,,,,,0
Vanuatu,Ministry of Lands Geology and Mines,Geology and Mines,Mines and Minerals,,13837113,,,,,13837113
Vanuatu,Ministry of Lands Geology and Mines,Water Resources,Rural Water Supply,Geology & Mines - Rural Water Supply,17498010,,,,,17498010
Vanuatu,Ministry of Lands Geology and Mines,Water Resources,Water Resource Management,Geology & Mines - Water Resources,8898087,,,,,8898087
Vanuatu,Ministry of Lands Geology and Mines,Land Valuation Services,Valuer General's Office,,7441354,,,,,7441354
Vanuatu,Ministry of Infrastructure and Public Utilities,Shipping Services,Ports & Marine,,111633722,,,,,111633722
Vanuatu,Ministry of Infrastructure and Public Utilities,Shipping Services,Government Contribution for Projects,,232859496,,,,,232859496
Vanuatu,Ministry of Infrastructure and Public Utilities,Shipping Services,Tug boat Maintenance,,15315000,,,,,15315000
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Head Office,94308059,,,,,94308059
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Project Management Unit,9700000,,,,,9700000
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Shefa Division,43181794,,,,,43181794
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Sanma Division,55851249,,,,,55851249
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Malampa Division,38229325,,,,,38229325
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Tafea Division,38118743,,,,,38118743
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Penama Division,30609006,,,,,30609006
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Torba Division,14665042,,,,,14665042
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Outer Island Airports Maintenance,51604000,,,,,51604000
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,Provincial Water Supply,45590000,,,,,45590000
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Development and Maintenance of Government Infrastructure,MCA Maintenance,0,,,,,0
Vanuatu,Ministry of Infrastructure and Public Utilities,Public Works,Government Contributions to Projects,,575218425,,,,,575218425
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Permanent Mission to the United States,,38427006,,,,,38427006
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Consul Noumea,,10751548,,,,,10751548
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Embassy Brussels,,22124797,,,,,22124797
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Embassy Beijing,,25484492,,,,,25484492
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Consulate Auckland,,10466494,,,,,10466494
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,High Commission Suva,,10075200,,,,,10075200
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Canberra Mission,,26006221,,,,,26006221
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Honorary Consuls,,4235777,,,,,4235777
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Protocol & Consular,,485000,,,,,485000
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,International Organisations,,30000000,,,,,30000000
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Corporate Services,,53905397,,,,,53905397
Vanuatu,Ministry of Foreign Affairs and External Trade,Dept of Foreign Affairs,Grant to MSG,,18000000,,,,,18000000
Vanuatu,Ministry of Foreign Affairs and External Trade,Trade Development and Facilitation,Industry and Commerce,,0,,,,,0
Vanuatu,Ministry of Foreign Affairs and External Trade,Trade Development and Facilitation,External Trade Policy and Administration,,0,,,,,0
Vanuatu,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Portfolio Coordination,Portfolio Coordination,Cabinet Operations,0,,,,,0
Vanuatu,Ministry of Youth Development and Training,Youth Development Sport & Recreation,Executive Management & Support Services,Support Services Unit,11542444,,,,,11542444
Vanuatu,Ministry of Youth Development and Training,Youth Development Sport & Recreation,Executive Management & Support Services,Office of Youth Development Sport & Training,17465382,,,,,17465382
Vanuatu,Ministry of Youth Development and Training,Youth Development Sport & Recreation,Contribution to Sport & Youth Development,National Sport Gymnasium,10000000,,,,,10000000
Vanuatu,Ministry of Youth Development and Training,Youth Development Sport & Recreation,Contribution to Sport & Youth Development,Contribution to Youth & Sport Development,33463103,,,,,33463103
Vanuatu,Ministry of Youth Development and Training,TVET & Employment Opportunities,Office of Technical Vocational Education and Training & Employment Opportunities,,4834298,,,,,4834298
Vanuatu,Ministry of Youth Development and Training,TVET & Employment Opportunities,Vanuatu National Training Council,,20000000,,,,,20000000
Vanuatu,Ministry of Youth Development and Training,TVET & Employment Opportunities,Non & Informal Education Development,,3276500,,,,,3276500
Vanuatu,Ministry of Youth Development and Training,Provincial Grants Youth Development,Grant for TORBA Province Youth Development Sport and Training Officer,,860300,,,,,860300
Vanuatu,Ministry of Youth Development and Training,Provincial Grants Youth Development,Grant for SANMA Province Youth Development Sport and Training Officer,,860300,,,,,860300
Vanuatu,Ministry of Youth Development and Training,Provincial Grants Youth Development,Grant for MALAMPA Province Youth Development Sport and Training Officer,,879100,,,,,879100
Vanuatu,Ministry of Youth Development and Training,Provincial Grants Youth Development,Grant for PENAMA Province Youth Development Sport and Training Officer,,860300,,,,,860300
Vanuatu,Ministry of Youth Development and Training,Provincial Grants Youth Development,Grant for SHEFA Province Youth Development Sport and Training Officer,,860300,,,,,860300
Vanuatu,Ministry of Youth Development and Training,Provincial Grants Youth Development,Grant for TAFEA Province Youth Development Sport and Training Officer,,883800,,,,,883800
Vanuatu,Ministry of Justice and Community Service,Correctional Services,Correctional Services,Office of the Director,19906840,,,,,19906840
Vanuatu,Ministry of Justice and Community Service,Correctional Services,Correctional Services,Correctional Centre (North),44333061,,,,,44333061
Vanuatu,Ministry of Justice and Community Service,Correctional Services,Correctional Services,Probation (North),12135383,,,,,12135383
Vanuatu,Ministry of Justice and Community Service,Correctional Services,Correctional Services,Parole,733500,,,,,733500
Vanuatu,Ministry of Justice and Community Service,Correctional Services,Correctional Services,Correctonal Centre (South),87121223,,,,,87121223
Vanuatu,Ministry of Justice and Community Service,Correctional Services,Correctional Services,Probation (South),16458477,,,,,16458477
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,Vanuatu Meteorological Services,Weather Forecasting Monitoring and Research,Weather Forcasting & Monitoring,937100,,,,,937100
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,Vanuatu Meteorological Services,Weather Forecasting Monitoring and Research,ICT-Enginering,1035080,,,,,1035080
Vanuatu,Ministry of Climate Change Adaptation Geohazards Meteorology and Energy,Vanuatu Meteorological Services,Weather Forecasting Monitoring and Research,Climate Section,861010,,,,,861010
